"№","Region (RU)","Region (BA)","Region (ENG)","Region (Com. Turk. BA)","District (RU)","District (BA)","District (ENG)","District (Com. Turk. BA)","Name (RU)","Name (BA)","Name (ENG)","Name (Com. Turk. BA)","Clan (RU)","Clan (BA)","Clan (ENG)","Clan (Com. Turk. BA)","Dialect (RU)","Dialect (BA)","Dialect (ENG)","Dialect (Com. Turk. BA)","Sub-dialect & Variety (RU)","Sub-dialect & Variety (BA)","Sub-dialect & Variety (ENG)","Sub-dialect & Variety (Com. Turk. BA)","Map Link","latitude","longitude","Status"
"473","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Абуляисово","Әбүләйес","Abulyaisovo","Äbüläyes","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.75413/56.89081","51.75413","56.89081",""
"474","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Баишево","Байыш","Baishevo","Bayış","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.83803/57.08689","51.83803","57.08689",""
"475","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Агурда","Ағурҙа","Agurda","Ağurźa","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.90613/57.12353","51.90613","57.12353",""
"476","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Акдавлетово","Аҡдәүләт","Akdavletovo","Aqdäwlät","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.88519/57.01597","51.88519","57.01597",""
"477","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Мухамедьяново","Мөхәмәтйән","Mukhamedyanovo","Möxämätyän","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.97109/56.94396","51.97109","56.94396",""
"478","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Алибаево","Әлебай","Alibayevo","Älebay","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.93263/56.92559","51.93263","56.92559",""
"479","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Иткулово","Этҡол","Itkulovo","Etqol","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.87482/56.84055","51.87482","56.84055",""
"480","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Абзаново","Абҙан","Abzanovo","Abźan","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.84810/56.76382","51.8481","56.76382",""
"481","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Ниязгулово","Нияҙғол","Niyazgulovo","Niyaźğol","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.85875/56.74028","51.85875","56.74028",""
"482","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Юлдыбаево","Юлдыбай","Yuldybayevo","Yuldıbay","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.85747/56.64287","51.85747","56.64287",""
"483","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Башкирская Чумаза","Башҡорт Самаҙыһы","Bashkirskaya Chumaza","Başqort Samaźıhı","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.94439/56.78563","51.94439","56.78563",""
"484","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Нижний Муйнак","Түбәнге Муйнаҡ","Nizhny Muynak","Tübänge Muynaq","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.98642/56.70458","51.98642","56.70458",""
"485","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Средний Муйнак","Урта Муйнаҡ","Sredny Muynak","Urta Muynaq","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.01982/56.73436","52.01982","56.73436",""
"486","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Верхний Муйнак","Үрге Муйнаҡ","Verkhny Muynak","Ürge Muynaq","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/52.03108/56.75078","52.03108","56.75078",""
"487","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Умбетово","Өмбәт","Umbetovo","Ömbät","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=13/52.06317/56.80760","52.06317","56.8076",""
"488","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Мазитово","Мәзит","Mazitovo","Mäzit","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.05894/56.90053","52.05894","56.90053",""
"489","Башкортостан","Башҡортостан","Bashkortostan","Başqortostan","Зианчуринский район","Ейәнсура районы","Zianchurinsky district","Yeyänsura rayonı","Габбасово","Ғәббәс","Gabbasovo","Ğäbbäs","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Сурянский подговор)","Эйек-Һаҡмар һөйләше (Һүрәм аҫһөйләше)","Ik-Sakmar sub-dialect (Suryan variety)","Eyek-Haqmar höyläşe (Hüräm aśhöyläşe)","https://www.openstreetmap.org/#map=14/52.10878/56.89015","52.10878","56.89015",""
